anchor,homophones,synonyms,phon_dist,graph_dist
ˈb e ɪ t,ˈb e ɪ t,ˈt ɔ ɹ m ə n t,ˈb e ɪ b,ˈa ɪ t
ˈb ɔ ɫ d,ˈb ɔ ɫ d,ˈh ɛ ɹ ɫ ə s,ˈb ɔ ɫ ɝ,ˈb æ d
ˈb ɔ ɫ,ˈb ɔ ɫ,ˈh ɑ ɫ ɝ,ˈb ɑ ɫ,ˈb ɔ
ˈb æ n d,ˈb æ n d,ˈɛ n s ə m b ə ɫ,ˈb æ ɡ d,ˈæ n d
ˈb ɛ ɹ,ˈb ɪ ɹ,ˈn u d,ˈb ɑ ɹ,ˈb e ɪ d
ˈk æ ʃ,ˈk e ɪ t ʃ,ˈm o ʊ n i,ˈb æ ʃ,ˈk æ s t
ˈk æ n t ɝ,ˈk æ n t ɝ,ˈt ʃ æ n t ɝ,ˈb æ n t ɝ,ˈk æ n t ɝ z
ˈk ɛ ɫ,ˈs ɛ ɫ,ˈk e ɪ d ʒ,ˈb ɛ ɫ,ˈb ɛ ɫ
ˈk j u,ˈk w u,ˈh ɪ n t,ˈk ɫ u,ˈd u
ˈɝ n,ˈɝ n,ˈɑ ˈk w a ɪ ɝ,ˈa n,ˈɑ ɹ n
ˈn u,ˈn u,ˈɹ i s ə n t,ˈb u,ˈe ɪ ˈn u
ˈn o ʊ,ˈn o ʊ,ˈɫ ɝ n,ˈb o ʊ,ˈɛ n o ʊ
ˈm e ɪ n,ˈm i n,ˈs ɛ n t ɹ ə ɫ,ˈb e ɪ n,ˈa m e ɪ n
ˈm i t,ˈm i t,ɛ n ˈk a ʊ n t ɝ,ˈb i t,ˈb i t
ˈm ɛ d ə ɫ,ˈm ɛ d ə ɫ,ˈɹ u ɝ d,ˈb ɛ d ə ɫ,ˈm i ɫ
ˈm a ɪ n d,ˈm a ɪ n d,ˈp i ˈs a ɪ k,ˈb a ɪ n d,ˈf ɪ n d
ˈm ɪ n ɝ,ˈm a ɪ n ɝ,ˈs ɛ k ə n ˌd ɛ ɹ i,ˈd ɪ n ɝ,ˈm e ɪ n ɝ
ˈm ə s ə ɫ,ˈm ə s ə ɫ,ˈt ɪ ʃ u,ˈb ə s ə ɫ,ˈm ə s ə ɫ d
ˈn e ɪ v ə ɫ,ˈn æ v ə ɫ,m ɝ ˈi n,ˈk e ɪ v ə ɫ,ˈe ɪ v ə ɫ
ˈp e ɪ n,ˈp e ɪ n,ˈe ɪ ɡ ə n i,ˈb e ɪ n,ˈm e ɪ n
ˈp i k,ˈp i k,ˈh ɪ ɫ,ˈb i k,ˈe ɪ ˈp i k
ˈp e ɪ ʃ ə n s,ˈp e ɪ ʃ ə n t s,k ə m ˈp o ʊ ʒ ɝ,ˈp e ɪ ʃ ə n t,ˈp e ɪ ʃ ə n s i
ˈw ɹ æ p,ˈɹ æ p,ˈb ɫ æ ŋ k ə t,ˈm æ p,ˈb ɹ æ t
ˈɹ ɛ s t,ˈw ɹ ɛ s t,v ə ˈk e ɪ ʃ ə n,ˈb ɛ s t,ˈs ɛ s t
ˈɹ u d,ˈɹ u d,ˈb ɫ ə n t,ˈb u d,ˈk ɹ u d
ˈs e ɪ ɫ,ˈs e ɪ ɫ,ˈk ɹ u z,ˈb e ɪ ɫ,ˈa ɪ ɫ
ˈs i n,ˈs i n,ˈs ɛ t ɪ ŋ,ˈb i n,ˈs ɛ n t
ˈs i,ˈs i,ˈw ɑ t ʃ,ˈɔ i,ˈb i
ˈt ɛ n s,ˈt ɛ n t s,ˈs t ɹ e ɪ n d,ˈs ɛ n s,ˈd ɛ n s
ˈw ɔ ɹ n,ˈw ɝ n,ˈæ d v ɝ t,ˈb ɔ ɹ n,ˈɑ ɹ n
ˈw i k,ˈw i k,ˈf ɹ æ d ʒ ə ɫ,ˈb i k,ˈp i k
ˈæ k ˈs ɛ p t,ˈɛ k ˈs ɛ p t,ˈw ɛ ɫ ˌk ə m,ˈæ k ˌs ɛ p t s,ˈæ k s ə n t
ˈm ɛ ɹ i,ˈm ɛ ɹ i,ˈw ɛ d,ˈb ɛ ɹ i,ˈb æ ɹ i
ˈe ɪ s ə n t,ˈæ s ə n t,ˈk ɫ ɪ m,ˈe ɪ d ə n t,ˈæ k s ə n t
ˈɑ ˌw e ɪ,ˈɔ ˌe ɪ,ˈd ɪ s t ə n t,ˈɑ ˌw e ɪ k,ˈɔ ɫ ˌw e ɪ
ˈb æ ɹ ə n,ˈb ɑ ɹ ə n,ˈs t ɛ ɹ ə ɫ,ˈb æ k ə n,ˈb ɑ ɹ k ə n
b ɪ ˈz ɑ ɹ,ˈb æ z ɑ ɹ,ˈs t ɹ e ɪ n d ʒ,b ɪ ˈz ʊ ɹ,ˈb ɪ z ɝ ɫ i
ˈb i t,ˈb i t,ˈp a ʊ n d,ˈb ɑ t,ˈb ɛ d
ˈk æ s t,ˈk e ɪ s t,ˈt ɹ u p,ˈb æ s t,ˈa s t
ˈʃ w ɑ ɹ,ˈk w a ɪ ɝ,ˈk ɔ ɹ ə s,ˈk w ɑ ɹ,ˈt ʃ ɛ ɹ
ˈs a ɪ t,ˈs a ɪ t,ˈv ɪ ʒ ə n,ˈb a ɪ t,ˈɫ a ɪ t
ˈk ɫ o ʊ z,ˈk ɫ o ʊ ð z,ˈn ɪ ɹ,ˈk ɫ o ʊ k,ˈɫ o ʊ z
ˈk ɑ k s,ˈk ɑ k s,ˈɹ u s t ɝ z,ˈb ɑ k s,ˈk ɑ k i
ˈk a ʊ n s ə ɫ,ˈk a ʊ n s ə ɫ,ˈɫ ɔ j ɝ,ˈk ɑ n s ə ɫ,ˈk a ʊ n s ə ɫ d
ˈk ɹ i k,ˈk ɹ i k,ˈɹ ɪ v ɝ,ˈɑ ɹ i k,ˈɹ i k
ˈd ɪ ɹ,ˈd ɪ ɹ,b ɪ ˈɫ ə v d,ˈa ɪ ɹ,ˈb ɪ ɹ
ˈd u ə ɫ,ˈd u ə ɫ,ˈf a ɪ t,ˈd u ə n,ˈd u ə ɫ z
ˈf e ɪ t,ˈf i t,ˈd ɛ s t ɪ n i,ˈb e ɪ t,ˈh e ɪ t
ˈf ɛ ɹ,ˈf ɛ ɹ,ˈd ʒ ə s t,ˈb ɛ ɹ,ˈf e ɪ ɫ
ˈf ɛ ɹ i,ˈf ɛ ɹ i,ˈb o ʊ t,ˈb ɛ ɹ i,ˈb ɛ ɹ i
ˈf e ɪ z,ˈf e ɪ z,ˈb ɑ ð ɝ,ˈb e ɪ z,ˈf e ɪ d
ˈf ɪ n d,ˈf a ɪ n d,ɛ n ˈk a ʊ n t ɝ,ˈf æ n d,ˈm a ɪ n d
ˈɪ d ə ɫ,ˈa ɪ d ə ɫ,ˈh ɛ ɹ o ʊ,ˈæ d ə ɫ,ˈɪ d ɪ ɫ
ˈh w o ʊ ɫ,ˈh o ʊ ɫ,k ə m ˈp ɫ i t,ˈh w o ʊ z,ˈw ɔ ɹ ɫ
ˈn a ɪ t,ˈn a ɪ t,ˈh ɔ ɹ s m ə n,ˈb a ɪ t,ˈn a ɪ t s
ˈn o ʊ z,ˈn o ʊ z,ˈk ɑ m p ɹ ɪ ˌh ɛ n d z,ˈb o ʊ z,ˈn o ʊ
ˈɫ ɛ d,ˈɫ ɛ d,ˈɡ w a ɪ d,ˈb ɛ d,ˈɹ ɛ d
ˈɫ ɪ ŋ k s,ˈɫ ɪ ŋ k s,k ə ˈn ɛ k ʃ ə n z,ˈɫ æ ŋ k s,ˈb ɫ ɪ ŋ k s
ˈm æ n ɝ,ˈm e ɪ n ɝ,ˈd ɛ m i n ɝ,ˈb æ n ɝ,ˈb æ n d
ˈɛ ɹ,ˈh ɪ ɹ,ˈb ɹ i z,ˈɪ ɹ,ˈɑ m ɪ ɹ
ˈa ɫ a ʊ d,ˈɔ ˌɫ o ʊ d,ˈɫ a ʊ d ɫ i,ˈk ɫ a ʊ d,ˈɑ ɫ a ʊ d ɫ i
ˈa ʊ,ˈw ɑ ɹ,ˈɑ ˌm e ɪ z,ˈa d,ˈe ɪ d
ˈt ʃ æ n s,ˈt ʃ æ n t s,ˌp ɹ ɑ b ə ˈb ɪ ɫ ə t i,ˈt ʃ æ n ɝ,ˈt ʃ æ n s ə ɫ
ˈs ɪ ŋ k,ˈs ɪ ŋ k,ˈf ɔ ɫ,ˈɔ ɪ ŋ k,ˈb ɪ ŋ k
ˈk o ʊ z ə n,ˈk o ʊ ˈs i n,d ɪ ˈs i v,ˈk o ʊ d ə n,ˈk o ʊ p ə n
ˈd ɛ s ɝ t,ˈd ɛ z ɝ t,ˈs w i t,ˈd ɛ s i t,ˈd ɛ z ɝ t s
ˈd i,ˈd a ɪ,ˈp ɛ ɹ ɪ ʃ,ˈɔ i,ˈd a ɪ d
ˈh i ɫ,ˈh i ɫ,ˈɹ ɛ k ə v ɝ,ˈɔ i ɫ,ˈn i ɫ
ˈh ɪ ɹ,ˈh ɪ ɹ,ˈɫ ɪ s ə n,ˈa ɪ ɹ,ˈb ɪ ɹ
ˈp ɛ ɹ,ˈp ɪ ɹ,ˈk u p ə ɫ,ˈb ɛ ɹ,ˈf ɛ ɹ
ˈm ɔ ɹ n ɪ ŋ,ˈm ɔ ɹ n ɪ ŋ,ˈɡ ɹ i v ɪ ŋ,ˈb ɔ ɹ n ɪ ŋ,ˈm ɔ ɹ n ɪ ŋ z
ˈp i s,ˈp i s,ˈt ɹ u s,ˈs i s,ˈp i t ʃ
ˈp ɫ e ɪ n,ˈp ɫ e ɪ n,ˌj u n ə ˈd ɔ ɹ n d,ˈb ɫ e ɪ n,ˈp ɫ e ɪ n ɝ
ˈp ɔ ɹ,ˈp ʊ ɹ,ˈs ɝ v,ˈb ɔ ɹ,ˈd ɔ ɹ
ˈp ɹ e ɪ,ˈp ɹ e ɪ,ˈw ɪ ʃ,ˈɑ ɹ e ɪ,ˈb ɹ e ɪ
ˈp ɹ o ʊ f ɪ t,ˈp ɹ ɑ f ə t,ˈɝ n ɪ ŋ z,ˈp ɹ ɑ f ɪ t s,ˈp ɹ ɑ f ə t ɪ d
ˈs o ʊ ɫ,ˈs u ɫ,ɛ k ˈs k ɫ u s ɪ v,ˈh o ʊ ɫ,ˈb o ʊ ɫ
ˈs ə m,ˈs o ʊ m,ˈæ ɡ ɹ ə ˌɡ e ɪ t,ˈb ə m,ˈt ə m
ˈs t ɛ ɹ z,ˈs t ɛ ɹ z,ˈs t ɛ p s,ˈs t ɛ ɹ d,ˈs t ɛ ɹ
ˈs t i ɫ,ˈs t i ɫ,ˈm ɛ t ə ɫ,ˈs k i ɫ,ˈs t i d
ˈs w i t,ˈs w i t,ˈd ɛ s ɝ t,ˈk w i t,ˈʃ i t
ˈt e ɪ ɫ,ˈt e ɪ ɫ,ˈs t ɔ ɹ i,ˈb e ɪ ɫ,ˈe ɪ ɫ
ˈw e ɪ,ˈw e ɪ,ˈɹ u t,ˈb e ɪ,ˈɑ ˌw e ɪ
ˈɫ o ʊ d,ˈɫ o ʊ d,ˈf ɪ ɫ,ˈb o ʊ d,ˈɡ o ʊ d
ˈm ʊ ɹ,ˈm ɔ ɹ,ˈw e ɪ s t ˌɫ æ n d,ˈa ʊ ɹ,ˈb ʊ ɹ
ˈɑ d,ˈɑ d,ˈs t ɹ e ɪ n d ʒ,ˈɑ ɫ,ˈd ɑ d
ˈw ɛ t,ˈw ɛ t,ˈʃ ɑ ɹ p ə n,ˈb ɛ t,ˈw ɛ ð ɝ
ˈt o ʊ,ˈt o ʊ,ˈp ʊ ɫ,ˈt u,ˈt o ʊ
ˈv a ɪ ɫ,ˈv i ə ɫ,ˈb æ d,ˈb a ɪ ɫ,ˈe ɪ ɫ
ˈv e ɪ n,ˈv e ɪ n,ˌɛ ɡ ə ˈt ɪ s t ɪ k ə ɫ,ˈb e ɪ n,ˈp e ɪ n
ˈm e ɪ ɫ,ˈm e ɪ ɫ,ˈɫ ɛ t ɝ,ˈb e ɪ ɫ,ˈɹ e ɪ ɫ
ˈm e ɪ z,ˈm e ɪ z,ˈɫ æ b ɝ ɪ n θ,ˈb e ɪ z,ˈɑ ˌm e ɪ z
ˈf e ɪ z,ˈf e ɪ z,ˈs t e ɪ d ʒ,ˈb e ɪ z,ˈt ʃ e ɪ z
ˈp e ɪ ɫ,ˈp e ɪ ɫ,ˈb ə k ə t,ˈb e ɪ ɫ,ˈp e ɪ d
ˈɡ ɹ a ʊ n,ˈɡ ɹ o ʊ n,ˈe ɪ d ə ɫ t,ˈb ɹ a ʊ n,ˈɡ ɹ a ʊ ɫ
ˈp ɑ ɫ,ˈp o ʊ ɫ,ˈv o ʊ t,ˈb ɑ ɫ,ˈb ɑ ɫ
ˈw ɪ t,ˈw ɪ t,ˈw ɪ s d ə m,ˈa ɪ t,ˈw ɪ t s
ˈh a ɪ,ˈh i,ˈt ɔ ɫ,ˈb a ɪ,ˈh e ɪ
ˈa d,ˈæ d,a ˈn a ʊ n s m ə n t,ˈa t,ˈa
ˈæ f ɪ k t,ˈɛ f ɪ k t,ˈɔ ɫ t ɝ,ˈæ d ɪ k t,ə ˈf ɛ k t ɪ d
ˈa ɪ ɫ,ˈe ɪ ɫ,ˈb ɑ ð ɝ,ˈa ɪ ɝ,ˈe ɪ ɫ z
ˈɔ ɫ,ˈɔ ɫ,ɛ n ˈt a ɪ ɝ,ˈɑ ɫ,ˈɔ ɫ ɪ n
ˈb i,ˈb i,ˈp ɑ ɹ t i,ˈɔ i,ˈb i f
ˈb i t ʃ,ˈb i t ʃ,ˈk o ʊ s t,ˈb æ t ʃ,ˈb i t ʃ i
ˈb o ʊ,ˈb o ʊ,ˈb ɔ ɪ ˌf ɹ ɛ n d,ˈc o ʊ,ˈb ɛ d
ˈb ɪ n,ˈb i n,ˈb ɑ k s,ˈb æ n,ˈb ɪ n z
ˈb ɪ ɫ d,ˈb ɪ ɫ d,ˈæ d v ɝ ˌt a ɪ z d,ˈa ɪ ɫ d,ˈb ɔ ɫ d
ˈb ɔ ɹ,ˈb ɔ ɹ,ˈp ɪ ɡ,ˈb ɑ ɹ,ˈb ɑ ɹ
ˈb ɔ ɹ d,ˈb ɔ ɹ d,ˈp æ n ə ɫ,ˈb ɔ ɫ d,ˈe ɪ ˈb ɔ ɹ d
