a,b,c,d,e
bait,beit,torment,babe,ait
bald,bold,hairless,baller,bad
bawl,baul,holler,baal,baw
band,bend,ensemble,bagged,and
bare,beir,nude,baar,bade
cash,kesh,money,bash,cast
cantor,kantow,chanter,banter,cantors
cell,sel,cage,bel,bell
cue,kiu,hint,clew,due
earn,ern,acquire,an,arn
new,gnu,recent,boo,anew
know,gnow,learn,beau,enow
main,mein,central,bain,amain
meet,miit,encounter,beat,beet
medal,medl,reward,bedel,meal
mind,maind,psyche,bind,find
minor,meener,secondary,dinar,manor
muscle,musull,tissue,bustle,muscled
naval,naveal,marine,caval,aval
pain,pein,agony,bain,main
peak,pik,hill,beak,apeak
patience,pashents,composure,patient,patiency
wrap,raap,blanket,map,brat
rest,restt,vacation,best,cest
rude,rood,blunt,bood,crude
sail,sael,cruise,bail,ail
scene,ceene,setting,bean,scent
see,cee,watch,awee,bee
tense,tenss,strained,cense,dense
warn,warne,advert,born,arn
weak,weke,fragile,beak,peak
accept,aksept,welcome,accepts,accent
marry,meri,wed,barie,barry
ascent,ascint,climb,aidant,accent
away,awae,distant,awake,alway
barren,barran,sterile,backen,barken
bizarre,bazair,strange,besour,bizarrely
beat,beit,pound,baht,bead
cast,kaast,troupe,bast,ast
choir,quoir,chorus,coir,chair
sight,syt,vision,bight,light
close,kloze,near,cloak,lose
cocks,coxen,roosters,bocce,cocky
counsel,caunsel,lawyer,consul,counseled
creek,kriek,river,areek,reek
dear,diar,beloved,ar,bear
duel,diuel,fight,dewan,duels
fate,fait,destiny,bait,hate
fair,feyr,just,bare,fail
ferry,feri,boat,barie,berry
faze,faiz,bother,baize,fade
find,faind,encounter,fand,mind
idol,aydle,hero,addle,idyl
whole,houl,complete,whose,whorl
knight,nyte,horseman,bight,knights
knows,gnose,comprehends,bose,know
lead,leed,guide,bead,read
links,linx,connections,lanx,blinks
manner,maner,demeanor,banner,banned
air,ayr,breeze,ear,amir
aloud,alowd,loudly,cloud,aloudly
awe,augh,amaze,ad,ade
chance,chaunce,probability,channer,chancel
sink,synque,fall,awink,bink
cozen,cozin,deceive,codon,copen
dessert,dezert,sweet,deceit,deserts
die,dai,perish,awee,died
heal,heale,recover,aweel,neal
hear,heer,listen,ar,bear
pair,pare,couple,bare,fair
mourning,maurning,grieving,borning,mournings
peace,pees,truce,cease,peach
plain,plaine,unadorned,blain,plainer
pour,poar,serve,boar,dour
pray,prae,wish,array,bray
profit,proffit,earnings,profits,profited
sole,soal,exclusive,hole,bole
sum,somme,aggregate,bum,tum
stairs,sterrs,steps,staired,stair
steel,stil,metal,skeel,steed
sweet,suit,dessert,queet,swuit
tale,tail,story,bail,ale
way,waei,route,bae,away
load,loed,fill,baud,goad
moor,moar,wasteland,azure,boor
odd,uod,strange,aal,dodd
whet,wiet,sharpen,bet,whether
tow,toe,pull,two,to
vile,vail,bad,bile,aile
vain,vayn,egotistical,bain,pain
mail,maile,letter,bail,rail
maze,maiz,labyrinth,baize,amaze
phase,fays,stage,baize,chase
pail,paile,bucket,bail,paid
grown,grohn,adult,brown,growl
poll,pole,vote,baal,boll
wit,weet,wisdom,ait,wits
high,hai,tall,by,heigh
ad,aed,announcement,at,a
affect,aifect,alter,addict,affected
ail,eyl,bother,aer,ails
all,oll,entire,aal,all-in
bee,bi,party,awee,beef
beach,bich,coast,batch,beachy
beau,bou,boyfriend,cho,bead
bin,bein,box,ban,bins
billed,bild,advertised,aisled,balled
boar,boer,pig,baar,bar
board,bord,panel,bald,aboard
border,bourder,edge,balder,birder
bolder,boalder,adventurous,bolter,boder
boy,boi,guy,bae,toy
break,braik,crack,areek,beak
bred,braid,cultivated,brad,ared
bridal,briddal,espousal,brickel,bridale
broach,broch,bring up,breach,abroach
sense,sens,feel,cent,cense
cereal,serel,wheat,aerial,ceral
chaste,chayst,celibate,chaped,caste
shoot,shute,blast,boot,hoot
cite,syt,quote,bight,bite
clause,clous,article,chlore,cause
coarse,cors,rude,carse,coarser
kernel,keirnel,nut,canal,kennel
coup,ku,overthrow,cap,coups
core,kohr,basis,boar,bore
creak,kreek,screech,areek,creaks
cruise,cruze,sailing,bruise,bruiser
symbol,simbol,emblem,semple,symbols
faint,feint,vague,fent,paint
daze,daiz,stupor,baize,dazed
do,du,achieve,boo,ado
discussed,discust,analyzed,discuss,discusser
dough,doh,bread,buff,bough
doughs,dous,breads,doffer,dough
draft,draff,blueprint,craft,raft
facts,facqs,reality,facty,facks
feat,feyt,triumph,beat,meat
file,fayl,record,bile,mile
flair,fleyr,ability,blair,lair
flee,fleigh,depart,alley,alee
flue,flew,chimney,blue,clue
flocks,flauks,assembly,flax,flock
floe,phloe,iceberg,alo,aloe
flour,flauer,blossom,clour,floury
foreword,forewerd,preamble,forwarder,foreworld
