anchor,homophones,synonyms,phon_dist,graph_dist
bait,bate,torment,babe,ait
bald,bawled,hairless,baller,bad
bawl,ball,holler,baal,baw
band,banned,ensemble,bagged,and
bare,bear,nude,baar,bade
cash,cache,money,bash,cast
cantor,canter,chanter,banter,cantors
cell,sell,cage,bel,bell
cue,queue,hint,clew,due
earn,urn,acquire,an,arn
new,knew,recent,boo,anew
know,no,learn,beau,enow
main,mean,central,bain,amain
meet,meat,encounter,beat,beet
medal,meddle,reward,bedel,meal
mind,mined,psyche,bind,find
minor,miner,secondary,dinar,manor
muscle,mussel,tissue,bustle,muscled
naval,navel,marine,caval,aval
pain,pane,agony,bain,main
peak,peek,hill,beak,apeak
patience,patients,composure,patient,patiency
wrap,rap,blanket,map,brat
rest,wrest,vacation,best,cest
rude,rued,blunt,bood,crude
sail,sale,cruise,bail,ail
scene,seen,setting,bean,scent
see,sea,watch,awee,bee
tense,tents,strained,cense,dense
warn,worn,advert,born,arn
weak,week,fragile,beak,peak
accept,except,welcome,accepts,accent
marry,merry,wed,barie,barry
ascent,assent,climb,aidant,accent
away,aweigh,distant,awake,alway
barren,baron,sterile,backen,barken
bizarre,bazaar,strange,besour,bizarrely
beat,beet,pound,baht,bead
cast,caste,troupe,bast,ast
choir,quire,chorus,coir,chair
sight,cite,vision,bight,light
close,clothes,near,cloak,lose
cocks,cox,roosters,bocce,cocky
counsel,council,lawyer,consul,counseled
creek,creak,river,areek,reek
dear,deer,beloved,ar,bear
duel,dual,fight,dewan,duels
fate,fete,destiny,bait,hate
fair,fare,just,bare,fail
ferry,fairy,boat,barie,berry
faze,phase,bother,baize,fade
find,fined,encounter,fand,mind
idol,idle,hero,addle,idyl
whole,hole,complete,whose,whorl
knight,night,horseman,bight,knights
knows,nose,comprehends,bose,know
lead,led,guide,bead,read
links,lynx,connections,lanx,blinks
manner,manor,demeanor,banner,banned
air,heir,breeze,ear,amir
aloud,allowed,loudly,cloud,aloudly
awe,oar,amaze,ad,ade
chance,chants,probability,channer,chancel
sink,sync,fall,awink,bink
cozen,cosine,deceive,codon,copen
dessert,desert,sweet,deceit,deserts
die,dye,perish,awee,died
heal,heel,recover,aweel,neal
hear,here,listen,ar,bear
pair,pear,couple,bare,fair
mourning,morning,grieving,borning,mournings
peace,piece,truce,cease,peach
plain,plane,unadorned,blain,plainer
pour,poor,serve,boar,dour
pray,prey,wish,array,bray
profit,prophet,earnings,profits,profited
sole,soul,exclusive,hole,bole
sum,some,aggregate,bum,tum
stairs,stares,steps,staired,stair
steel,steal,metal,skeel,steed
sweet,suite,dessert,queet,sheet
tale,tail,story,bail,ale
way,weigh,route,bae,away
load,lode,fill,baud,goad
moor,more,wasteland,azure,boor
odd,od,strange,aal,dodd
whet,wet,sharpen,bet,whether
tow,toe,pull,two,to
vile,vial,bad,bile,aile
vain,vane,egotistical,bain,pain
mail,male,letter,bail,rail
maze,maize,labyrinth,baize,amaze
phase,faze,stage,baize,chase
pail,pale,bucket,bail,paid
grown,groan,adult,brown,growl
poll,pole,vote,baal,boll
wit,whit,wisdom,ait,wits
high,hi,tall,by,heigh
ad,add,announcement,at,a
affect,effect,alter,addict,affected
ail,ale,bother,aer,ails
all,awl,entire,aal,all-in
bee,be,party,awee,beef
beach,beech,coast,batch,beachy
beau,bow,boyfriend,cho,bead
bin,been,box,ban,bins
billed,build,advertised,aisled,balled
boar,bore,pig,baar,bar
board,bored,panel,bald,aboard
border,boarder,edge,balder,birder
bolder,boulder,adventurous,bolter,boder
boy,buoy,guy,bae,toy
break,brake,crack,areek,beak
bred,bread,cultivated,brad,ared
bridal,bridle,espousal,brickel,bridale
broach,brooch,bring up,breach,abroach
